latitude,longitude,time,date,sound val,sound avg,sound pek
51.5000076293,0.0024333000,15:8:15,21/9/2017,10,8.47,158
51.5000000000,0.0024316000,15:8:16,21/9/2017,36,15.70,214
51.4999847412,0.0024300000,15:8:16,21/9/2017,18,26.34,248
51.4999656677,0.0024300000,15:8:18,21/9/2017,20,19.18,189
51.4999504089,0.0024283003,15:8:19,21/9/2017,18,46.46,168
51.4999351501,0.0024266002,15:8:20,21/9/2017,50,34.79,266
51.4999275207,0.0024266002,15:8:20,21/9/2017,17,26.55,192
51.4999198913,0.0024233002,15:8:22,21/9/2017,23,21.76,143
51.4999008178,0.0024215998,15:8:23,21/9/2017,15,13.16,199
51.4998855590,0.0024165999,15:8:24,21/9/2017,20,10.22,190
51.4998779296,0.0024200000,15:8:24,21/9/2017,7,8.71,183
51.4998626708,0.0024215998,15:8:26,21/9/2017,14,14.33,152
51.4998435974,0.0024200000,15:8:27,21/9/2017,19,25.71,222
51.4998359680,0.0024215998,15:8:28,21/9/2017,11,16.28,149
51.4998283386,0.0024266002,15:8:28,21/9/2017,5,14.48,179
51.4998130798,0.0024266002,15:8:30,21/9/2017,0,8.38,188
51.4998054504,0.0024233002,15:8:31,21/9/2017,3,6.88,198
51.4997901916,0.0024165999,15:8:32,21/9/2017,5,6.51,180
51.4997787475,0.0024133000,15:8:32,21/9/2017,4,5.64,186
51.4997634887,0.0024150002,15:8:34,21/9/2017,0,5.23,193
51.4997558593,0.0024165999,15:8:35,21/9/2017,0,6.03,176
51.4997406005,0.0024182999,15:8:36,21/9/2017,4,6.67,220
51.4997329711,0.0024200000,15:8:36,21/9/2017,16,6.81,194
51.4997138977,0.0024215998,15:8:38,21/9/2017,5,7.98,173
51.4997062683,0.0024182999,15:8:39,21/9/2017,7,9.71,188
51.4996910095,0.0024150002,15:8:40,21/9/2017,5,12.47,168
51.4996757507,0.0024133000,15:8:40,21/9/2017,8,12.73,223
51.4996566772,0.0024082999,15:8:42,21/9/2017,25,14.81,179
51.4996414184,0.0024016001,15:8:43,21/9/2017,8,18.03,151
51.4996337890,0.0023983001,15:8:44,21/9/2017,5,12.55,220
51.4996185302,0.0024000000,15:8:44,21/9/2017,3,8.51,244
51.4995994567,0.0023983001,15:8:46,21/9/2017,7,10.09,184
51.4995841979,0.0023966000,15:8:47,21/9/2017,11,12.04,166
51.4995765686,0.0023950002,15:8:48,21/9/2017,17,13.65,212
