latitude,longitude,time,date,light,temperature,people,people cumulative
51.5008544921,0.0054099998,10:12:32,25/9/2017,25,28.61,0,25
51.5008544921,0.0054099998,10:12:32,25/9/2017,26,31.05,0,25
51.5008544921,0.0054316000,10:12:33,25/9/2017,24,28.61,3,28
51.5008544921,0.0054316000,10:12:33,25/9/2017,25,30.57,0,28
51.5008468627,0.0054550004,10:12:34,25/9/2017,24,28.61,0,28
51.5008468627,0.0054550004,10:12:34,25/9/2017,25,31.05,0,28
51.5008468627,0.0054750003,10:12:35,25/9/2017,24,28.61,0,28
51.5008468627,0.0054750003,10:12:35,25/9/2017,25,30.57,0,28
51.5008392333,0.0054932999,10:12:36,25/9/2017,24,28.61,0,28
51.5008392333,0.0054932999,10:12:36,25/9/2017,25,30.57,0,28
51.5008316040,0.0055100007,10:12:37,25/9/2017,24,28.61,0,28
51.5008316040,0.0055100007,10:12:37,25/9/2017,26,31.54,0,28
51.5008201599,0.0055283002,10:12:38,25/9/2017,24,28.13,1,29
51.5008201599,0.0055283002,10:12:38,25/9/2017,25,31.05,0,29
51.5008125305,0.0055466003,10:12:39,25/9/2017,24,28.61,0,29
51.5008125305,0.0055466003,10:12:39,25/9/2017,25,31.05,0,29
51.5008125305,0.0055650000,10:12:40,25/9/2017,24,28.61,0,29
51.5008125305,0.0055650000,10:12:40,25/9/2017,25,31.05,0,29
51.5008049011,0.0055850005,10:12:41,25/9/2017,25,29.10,0,29
51.5008049011,0.0055850005,10:12:41,25/9/2017,25,31.54,0,29
51.5008049011,0.0056050004,10:12:42,25/9/2017,25,29.10,0,29
51.5008049011,0.0056050004,10:12:42,25/9/2017,26,31.54,0,29
51.5007972717,0.0056283001,10:12:43,25/9/2017,30,29.10,0,29
51.5007972717,0.0056283001,10:12:43,25/9/2017,31,31.54,0,29
51.5007972717,0.0056483001,10:12:44,25/9/2017,46,29.10,1,30
51.5007972717,0.0056483001,10:12:44,25/9/2017,50,31.54,0,30
51.5007896423,0.0056666002,10:12:45,25/9/2017,47,29.10,0,30
51.5007896423,0.0056666002,10:12:45,25/9/2017,47,31.54,0,30
