latitude,longitude,time,date,light
51.4997711181,0.0060199999,17:14:55,19/9/2017,13
51.4997711181,0.0060199999,17:14:55,19/9/2017,14
51.4997634887,0.0060300006,17:14:56,19/9/2017,17
51.4997634887,0.0060300006,17:14:56,19/9/2017,20
51.4997482299,0.0060416007,17:14:56,19/9/2017,12
51.4997482299,0.0060416007,17:14:56,19/9/2017,13
51.4997406005,0.0060532999,17:14:58,19/9/2017,13
51.4997406005,0.0060532999,17:14:58,19/9/2017,14
51.4997329711,0.0060633001,17:14:59,19/9/2017,16
51.4997329711,0.0060633001,17:14:59,19/9/2017,17
51.4997138977,0.0060733003,17:15:0,19/9/2017,23
51.4997138977,0.0060733003,17:15:0,19/9/2017,20
51.4997062683,0.0060816001,17:15:0,19/9/2017,20
51.4997062683,0.0060816001,17:15:0,19/9/2017,18
51.4996986389,0.0060900001,17:15:2,19/9/2017,20
51.4996986389,0.0060900001,17:15:2,19/9/2017,17
51.4996910095,0.0061033000,17:15:3,19/9/2017,13
51.4996910095,0.0061033000,17:15:3,19/9/2017,13
51.4996833801,0.0061166000,17:15:4,19/9/2017,13
51.4996833801,0.0061166000,17:15:4,19/9/2017,14
51.4996757507,0.0061332998,17:15:4,19/9/2017,13
51.4996757507,0.0061332998,17:15:4,19/9/2017,13
51.4996681213,0.0061500000,17:15:6,19/9/2017,12
51.4996681213,0.0061500000,17:15:6,19/9/2017,13
51.4996566772,0.0061700000,17:15:7,19/9/2017,15
51.4996566772,0.0061700000,17:15:7,19/9/2017,15
51.4996490478,0.0061865997,17:15:8,19/9/2017,14
51.4996490478,0.0061865997,17:15:8,19/9/2017,15
51.4996337890,0.0062049999,17:15:8,19/9/2017,14
51.4996337890,0.0062049999,17:15:8,19/9/2017,15
51.4996261596,0.0062216000,17:15:10,19/9/2017,14
51.4996261596,0.0062216000,17:15:10,19/9/2017,15
51.4996261596,0.0062400007,17:15:11,19/9/2017,14
51.4996261596,0.0062400007,17:15:11,19/9/2017,15
51.4996185302,0.0062566003,17:15:12,19/9/2017,26
51.4996185302,0.0062566003,17:15:12,19/9/2017,29
51.4996109008,0.0062749996,17:15:12,19/9/2017,20
51.4996109008,0.0062749996,17:15:12,19/9/2017,20
51.4996109008,0.0062932996,17:15:14,19/9/2017,16
51.4996109008,0.0062932996,17:15:14,19/9/2017,16
51.4995994567,0.0063150000,17:15:15,19/9/2017,16
51.4995994567,0.0063150000,17:15:15,19/9/2017,17
51.4995918273,0.0063350000,17:15:16,19/9/2017,37
51.4995918273,0.0063350000,17:15:16,19/9/2017,38
51.4995918273,0.0063550000,17:15:16,19/9/2017,25
51.4995918273,0.0063550000,17:15:16,19/9/2017,24
51.4995918273,0.0063733005,17:15:18,19/9/2017,17
51.4995918273,0.0063733005,17:15:18,19/9/2017,17
51.4995841979,0.0063933000,17:15:19,19/9/2017,16
51.4995841979,0.0063933000,17:15:19,19/9/2017,18
51.4995841979,0.0064133000,17:15:20,19/9/2017,36
51.4995841979,0.0064133000,17:15:20,19/9/2017,36
51.4995841979,0.0064350004,17:15:20,19/9/2017,16
51.4995841979,0.0064350004,17:15:20,19/9/2017,16
