latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,MQ9 gas average,people,cumulative people
51.5014648437,0.006795,14:10:8,18/5/2016,9,6,9.62,32,15.92,773.9,0,2
51.5014495849,0.0068050003,14:10:10,18/5/2016,9,5,6.16,33,15.92,766.33,0,2
51.5014495849,0.0068116006,14:10:11,18/5/2016,10,3,10.88,50,15.92,743.18,0,2
51.5014305114,0.0068183002,14:10:12,18/5/2016,10,11,3.09,23,15.92,752.42,1,3
51.5014076232,0.0068233008,14:10:12,18/5/2016,10,6,5.52,55,15.92,769.71,4,7
51.5013999938,0.0068300004,14:10:14,18/5/2016,10,0,6.48,30,15.92,774.37,0,7
51.5013923645,0.0068399996,14:10:15,18/5/2016,10,6,4.15,32,15.92,773.95,0,7
51.5013771057,0.0068516006,14:10:16,18/5/2016,10,0,3.24,22,15.92,774.96,0,7
51.5013656616,0.0068633008,14:10:16,18/5/2016,10,16,8.37,31,15.92,775.96,0,7
51.5013580322,0.0068733005,14:10:18,18/5/2016,10,2,2.04,17,15.92,776.9,0,7
51.5013504028,0.0068816003,14:10:19,18/5/2016,11,0,1.39,11,15.92,772.66,0,7
51.5013427734,0.0068900003,14:10:20,18/5/2016,11,11,5.6,24,15.92,765.44,0,7
51.501335144,0.0068949995,14:10:20,18/5/2016,12,3,1.55,18,15.92,775.91,0,7
51.5013275146,0.0069016003,14:10:22,18/5/2016,11,4,4.62,22,15.92,771.72,0,7
51.5013275146,0.0069065999,14:10:23,18/5/2016,12,1,1.32,11,15.92,770.27,0,7
51.5013275146,0.0069132995,14:10:24,18/5/2016,13,0,3.53,19,15.92,746.98,0,7
51.5013198852,0.0069216003,14:10:24,18/5/2016,13,11,1.61,20,15.92,735.92,0,7
51.5013084411,0.0069316005,14:10:26,18/5/2016,13,0,5.42,21,15.92,757.81,0,7
51.5013008117,0.0069400005,14:10:27,18/5/2016,13,11,13.37,65,15.92,762.69,0,7
51.5012931823,0.0069483003,14:10:28,18/5/2016,14,2,7.96,54,15.92,759.89,0,7
51.5012931823,0.0069549999,14:10:28,18/5/2016,14,0,12.17,47,15.92,763.33,0,7
51.5013084411,0.0069633002,14:10:30,18/5/2016,14,7,9.34,57,15.92,763.95,0,7
51.5013504028,0.0069765996,14:10:31,18/5/2016,14,9,2.05,20,15.92,763.63,0,7
51.5013580322,0.0069850006,14:10:32,18/5/2016,15,2,6.49,35,15.92,765.02,0,7
51.5013847351,0.0069950008,14:10:32,18/5/2016,15,0,8.53,33,15.92,765.66,0,7
51.5013771057,0.0069966006,14:10:34,18/5/2016,15,4,4.47,25,15.92,766.61,0,7
51.5013771057,0.0069966006,14:10:35,18/5/2016,15,0,3.1,27,15.92,767.15,0,7
51.5013771057,0.0070050001,14:10:36,18/5/2016,15,4,1.98,18,15.92,764.97,0,7
51.5013656616,0.0070050001,14:10:36,18/5/2016,14,0,3.8,24,15.92,764.58,0,7
51.5013656616,0.0070033006,14:10:38,18/5/2016,15,7,2.48,20,15.92,764.62,0,7
51.5013580322,0.007,14:10:39,18/5/2016,15,4,3.12,33,15.92,764.42,0,7
51.5013427734,0.0070065999,14:10:40,18/5/2016,15,31,8.39,40,15.92,763.86,0,7
51.501335144,0.0070233001,14:10:40,18/5/2016,15,2,6.31,30,15.92,763.71,0,7
51.5013275146,0.0070416002,14:10:42,18/5/2016,15,10,6.89,27,15.92,763.24,0,7
51.5013275146,0.007045,14:10:43,18/5/2016,14,5,9,33,15.92,762.54,0,7
51.5013275146,0.007045,14:10:44,18/5/2016,14,6,5.93,30,15.92,762.82,0,7
51.5013275146,0.0070365996,14:10:44,18/5/2016,15,8,5.1,28,15.92,761.78,0,7
51.5013198852,0.0070233001,14:10:46,18/5/2016,15,7,11.87,88,15.43,762.03,0,7
51.5013198852,0.0070183,14:10:47,18/5/2016,14,18,7.72,34,15.43,761.28,0,7
51.5013008117,0.0070282993,14:10:48,18/5/2016,15,9,12.63,46,15.43,764.02,0,7
51.5012702941,0.0070516004,14:10:48,18/5/2016,14,13,12.59,50,15.43,762.67,0,7
51.5012550354,0.0070516004,14:10:50,18/5/2016,15,17,21.36,67,15.43,765.85,0,7
51.5012435913,0.0070483007,14:10:51,18/5/2016,15,2,8.01,31,15.43,767.31,0,7
51.5012359619,0.0070550003,14:10:52,18/5/2016,15,17,9.82,86,15.43,766.69,0,7
51.5012550354,0.0070483007,14:10:52,18/5/2016,15,3,13.48,57,15.43,768.19,0,7
51.5012626647,0.0070850009,14:10:54,18/5/2016,14,6,9.65,41,15.43,768.33,0,7
51.5012550354,0.0071033,14:10:55,18/5/2016,15,0,8.53,42,15.43,776.77,0,7
51.5012435913,0.0071133003,14:10:56,18/5/2016,14,12,5.77,34,15.43,782.68,0,7
51.5012359619,0.0071316003,14:10:56,18/5/2016,14,13,6.59,29,15.43,778.84,0,7
51.5012207031,0.0071565999,14:10:58,18/5/2016,14,15,5.4,32,15.43,786.52,0,7
51.5012359619,0.0071799998,14:10:59,18/5/2016,14,2,8.17,30,15.43,785.08,0,7
51.5012435913,0.0072149996,14:11:0,18/5/2016,13,5,7.91,34,14.94,775.27,0,7
51.5012359619,0.0072566003,14:11:0,18/5/2016,14,5,3.52,20,14.94,750.33,0,7
51.5012359619,0.0072782998,14:11:2,18/5/2016,13,14,6.13,31,14.94,753.7,0,7
51.5012283325,0.0073015999,14:11:3,18/5/2016,13,5,2.89,27,14.94,746.76,0,7
51.5012130737,0.007315001,14:11:4,18/5/2016,13,4,5.7,57,14.94,735.97,0,7
51.5012054443,0.0073216009,14:11:4,18/5/2016,13,11,8.89,50,14.94,708.8,0,7
51.5011978149,0.0073316006,14:11:6,18/5/2016,13,6,3.34,22,14.94,668.82,0,7
51.5011863708,0.0073383002,14:11:7,18/5/2016,14,4,2.6,18,14.94,550.93,0,7
51.5011863708,0.0073415999,14:11:8,18/5/2016,14,3,1.35,13,14.94,544.48,0,7
51.5011863708,0.0073449997,14:11:8,18/5/2016,14,4,5.24,29,14.94,578.44,0,7
51.5011863708,0.0073415999,14:11:10,18/5/2016,13,12,1.99,21,14.94,751.41,0,7
51.5011863708,0.0073383002,14:11:11,18/5/2016,14,1,2.58,28,14.94,738.25,0,7
51.5011978149,0.0073333001,14:11:12,18/5/2016,14,0,2.64,20,14.94,728.68,0,7
51.5011978149,0.0073266005,14:11:12,18/5/2016,14,17,5.09,43,14.94,721.31,0,7
51.5011787414,0.0073216009,14:11:14,18/5/2016,14,2,4.07,44,14.94,722.92,0,7
51.501171112,0.0073199996,14:11:15,18/5/2016,15,2,3.61,48,14.94,712.22,0,7
51.5011634826,0.0073183007,14:11:16,18/5/2016,14,0,2.62,18,14.94,713.54,0,7
51.5011558532,0.0073199996,14:11:16,18/5/2016,14,0,2.82,17,14.94,714.6,0,7
51.5011405944,0.0073365998,14:11:18,18/5/2016,13,0,2.08,20,14.94,648.72,0,7
51.501132965,0.0073399996,14:11:19,18/5/2016,14,1,1.76,14,14.94,517.83,0,7
51.5011215209,0.0073449997,14:11:20,18/5/2016,14,11,6.34,29,14.94,698.99,1,8
51.5011138916,0.0073500003,14:11:20,18/5/2016,15,6,3.14,22,14.94,755.56,0,8
51.5011062622,0.0073633003,14:11:22,18/5/2016,15,1,3.58,30,14.94,758.23,0,8
51.5010414123,0.0074016003,14:11:23,18/5/2016,15,2,5.49,28,14.94,761.34,0,8
51.5009994506,0.0074200005,14:11:24,18/5/2016,15,0,6.97,43,14.94,761.21,0,8
51.5009422302,0.00744,14:11:24,18/5/2016,16,2,5.91,26,14.94,762.31,0,8
51.5009117126,0.0074516005,14:11:26,18/5/2016,15,7,3.67,21,14.94,748.29,0,8
51.5008888244,0.0074750003,14:11:27,18/5/2016,15,0,1.89,18,14.94,733.73,0,8
51.5008773803,0.0075,14:11:28,18/5/2016,14,0,3.33,19,14.94,736.74,0,8
51.5008888244,0.0075199995,14:11:28,18/5/2016,15,3,5.45,28,14.94,732.87,0,8
51.5008964538,0.0075216002,14:11:30,18/5/2016,14,1,3.45,20,14.94,732.78,0,8
51.5008888244,0.007525,14:11:31,18/5/2016,13,2,3.21,18,14.94,729.85,0,8
51.5008773803,0.0075232992,14:11:32,18/5/2016,13,33,5.55,43,14.94,733.16,0,8
