
51.50167465,0.00629330, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50165939,0.00630330, CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
51.50165939,0.00630830, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50165176,0.00631330, CPS, 3, CPM, 20, uSv/hr, 0.11, SLOW
51.50162887,0.00631830, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50160980,0.00631830, CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
51.50160217,0.00631830, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50159454,0.00631830, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50157928,0.00631500, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50157165,0.00632000, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50155258,0.00632660, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50154495,0.00633500, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50153732,0.00634500, CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
51.50152969,0.00635660, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50152206,0.00637000, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50151443,0.00637660, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50150680,0.00637660, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50149917,0.00638330, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50149917,0.00638330, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50149917,0.00639000, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50149917,0.00639330, CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
51.50149917,0.00640330, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50148773,0.00642160, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50148010,0.00645660, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50148010,0.00649830, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50148010,0.00652500, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50148010,0.00656160, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50150680,0.00659330, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50149917,0.00661660, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50145721,0.00668330, CPS, 2, CPM, 20, uSv/hr, 0.11, SLOW
51.50146484,0.00669500, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50148010,0.00671160, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50150680,0.00674500, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50154495,0.00678500, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50157165,0.00681660, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50158691,0.00685330, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50160217,0.00690660, CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
51.50160980,0.00694500, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50162124,0.00697000, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50162124,0.00699160, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50162124,0.00698830, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50162124,0.00702000, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50160980,0.00703660, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50160980,0.00705500, CPS, 1, CPM, 15, uSv/hr, 0.08, SLOW
51.50159454,0.00707000, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50158691,0.00708500, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50157165,0.00709660, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50157165,0.00710660, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50156402,0.00711330, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50154495,0.00712830, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50154495,0.00713330, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50153732,0.00714660, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50152969,0.00715330, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50152969,0.00716660, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50152206,0.00718660, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50146484,0.00718160, CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
51.50145721,0.00720330, CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
51.50144958,0.00721500, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
