latitude,longitude,time,date,people,cumulative people
51.503704071,0.0059033002,13:49:42,24/2/2016,0,8
51.5037193298,0.0058916001,13:49:43,24/2/2016,0,8
51.5037269592,0.0058800001,13:49:44,24/2/2016,0,8
51.5037345886,0.0058683004,13:49:44,24/2/2016,0,8
51.5037498474,0.005855,13:49:46,24/2/2016,0,8
51.5037612915,0.0058433003,13:49:47,24/2/2016,0,8
51.5037689208,0.0058300008,13:49:48,24/2/2016,0,8
51.5037765502,0.0058166003,13:49:48,24/2/2016,0,8
51.503791809,0.0058050003,13:49:50,24/2/2016,0,8
51.5037994384,0.0057933001,13:49:51,24/2/2016,0,8
51.5038070678,0.0057816004,13:49:52,24/2/2016,0,8
51.5038185119,0.0057700004,13:49:52,24/2/2016,0,8
51.5038261413,0.0057583003,13:49:54,24/2/2016,0,8
51.5038337707,0.0057483005,13:49:55,24/2/2016,0,8
51.5038490295,0.0057365999,13:49:56,24/2/2016,0,8
51.5038642883,0.0057250003,13:49:56,24/2/2016,0,8
51.5038719177,0.0057116003,13:49:58,24/2/2016,0,8
51.5038909912,0.0056999998,13:49:59,24/2/2016,0,8
51.5038986206,0.0056883001,13:50:0,24/2/2016,0,8
51.50390625,0.0056750006,13:50:0,24/2/2016,0,8
51.5039215087,0.0056616001,13:50:2,24/2/2016,0,8
51.5039291381,0.0056500005,13:50:3,24/2/2016,0,8
51.5039482116,0.0056383008,13:50:4,24/2/2016,0,8
51.503955841,0.005625,13:50:4,24/2/2016,0,8
51.5039634704,0.0056133003,13:50:6,24/2/2016,0,8
51.5039710998,0.0055999999,13:50:7,24/2/2016,0,8
51.5039787292,0.0055866003,13:50:8,24/2/2016,0,8
51.503993988,0.0055733003,13:50:8,24/2/2016,0,8
51.5040054321,0.0055599999,13:50:10,24/2/2016,0,8
51.5040206909,0.005545,13:50:11,24/2/2016,0,8
51.5040283203,0.0055333003,13:50:12,24/2/2016,0,8
51.5040359497,0.0055233001,13:50:12,24/2/2016,0,8
51.5040435791,0.0055116004,13:50:14,24/2/2016,0,8
51.5040512084,0.0054982995,13:50:15,24/2/2016,0,8
51.5040626525,0.0054866003,13:50:16,24/2/2016,0,8
51.5040702819,0.0054766006,13:50:16,24/2/2016,0,8
51.5040779113,0.0054633002,13:50:18,24/2/2016,0,8
51.5040855407,0.0054500007,13:50:19,24/2/2016,0,8
51.5040931701,0.0054365997,13:50:20,24/2/2016,0,8
51.5041007995,0.0054233002,13:50:20,24/2/2016,0,8
51.5041084289,0.0054116005,13:50:22,24/2/2016,0,8
51.5041275024,0.0053983001,13:50:23,24/2/2016,0,8
51.5041351318,0.0053850002,13:50:24,24/2/2016,0,8
51.5041503906,0.0053716001,13:50:24,24/2/2016,0,8
51.50415802,0.0053600001,13:50:26,24/2/2016,0,8
51.5041656494,0.0053450002,13:50:27,24/2/2016,0,8
51.5041732788,0.0053316001,13:50:28,24/2/2016,0,8
51.5041923522,0.0053183007,13:50:28,24/2/2016,0,8
51.5041999816,0.0053033008,13:50:30,24/2/2016,0,8
51.504207611,0.0052900004,13:50:31,24/2/2016,0,8
51.5042152404,0.0052765998,13:50:32,24/2/2016,0,8
51.5042228698,0.0052616,13:50:32,24/2/2016,0,8
51.5042304992,0.0052466001,13:50:34,24/2/2016,0,8
51.5042381286,0.0052315998,13:50:35,24/2/2016,0,8
51.5042495727,0.0052183003,13:50:36,24/2/2016,0,8
51.5042572021,0.0052032999,13:50:36,24/2/2016,0,8
51.5042648315,0.00519,13:50:38,24/2/2016,0,8
51.5042724609,0.0051766004,13:50:39,24/2/2016,0,8
51.5042800903,0.0051616001,13:50:40,24/2/2016,0,8
51.5042877197,0.0051516003,13:50:40,24/2/2016,0,8
51.5043067932,0.0051350002,13:50:42,24/2/2016,0,8
51.5043144226,0.0051150007,13:50:43,24/2/2016,0,8
51.504322052,0.0050982999,13:50:44,24/2/2016,0,8
51.5043296813,0.0050850005,13:50:44,24/2/2016,0,8
51.5043373107,0.0050732998,13:50:46,24/2/2016,0,8
51.5043449401,0.0050665998,13:50:47,24/2/2016,0,8
51.5043525695,0.0050533003,13:50:48,24/2/2016,0,8
51.5043601989,0.0050432996,13:50:48,24/2/2016,0,8
51.504371643,0.0050349998,13:50:50,24/2/2016,0,8
51.504371643,0.0050365996,13:50:51,24/2/2016,0,8
51.504371643,0.0050166006,13:50:52,24/2/2016,0,8
51.5043792724,0.0050033001,13:50:52,24/2/2016,0,8
51.5043869018,0.0050066003,13:50:54,24/2/2016,0,8
51.5044021606,0.0049950003,13:50:55,24/2/2016,0,8
51.50440979,0.0049865999,13:50:56,24/2/2016,0,8
51.5044174194,0.0049749999,13:50:56,24/2/2016,0,8
51.5044288635,0.00496,13:50:58,24/2/2016,0,8
51.5044364929,0.0049415998,13:50:59,24/2/2016,0,8
51.5044517517,0.0049232997,13:51:0,24/2/2016,0,8
51.5044670104,0.0049099998,13:51:0,24/2/2016,0,8
51.5044746398,0.0048949999,13:51:2,24/2/2016,0,8
51.5044822692,0.0048800001,13:51:3,24/2/2016,0,8
51.5045013427,0.0048699998,13:51:4,24/2/2016,0,8
51.5045089721,0.0048600001,13:51:4,24/2/2016,0,8
