SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatDec,GPSLonDec
./IMG_9588.JPG,IMG_9588.JPG,"40 deg 47' 2.65""","73 deg 57' 32.32""",40.78407,73.95898
./IMG_9589.JPG,IMG_9589.JPG,"40 deg 47' 1.99""","73 deg 57' 34.73""",40.783886,73.95965
./IMG_9590.JPG,IMG_9590.JPG,"40 deg 47' 0.01""","73 deg 57' 36.30""",40.783337,73.96008
./IMG_9591.JPG,IMG_9591.JPG,"40 deg 46' 56.74""","73 deg 57' 40.34""",40.78243,73.961205
./IMG_9592.JPG,IMG_9592.JPG,"40 deg 46' 55.51""","73 deg 57' 38.44""",40.782085,73.96068
./IMG_9593.JPG,IMG_9593.JPG,"40 deg 46' 53.04""","73 deg 57' 41.76""",40.7814,73.9616
./IMG_9596.JPG,IMG_9596.JPG,"40 deg 42' 13.83""","74 deg 0' 54.74""",40.703842,74.015205
./IMG_9597.JPG,IMG_9597.JPG,"40 deg 42' 11.55""","74 deg 0' 57.13""",40.70321,74.01587
./IMG_9598.JPG,IMG_9598.JPG,"40 deg 42' 10.51""","74 deg 1' 0.59""",40.70292,74.01683
./IMG_9599.JPG,IMG_9599.JPG,"40 deg 42' 9.70""","74 deg 1' 1.11""",40.702694,74.016975
./IMG_9604.JPG,IMG_9604.JPG,"40 deg 42' 7.14""","74 deg 0' 57.84""",40.701984,74.01607
./IMG_9605.JPG,IMG_9605.JPG,"40 deg 42' 4.47""","74 deg 0' 55.59""",40.70124,74.01544
./IMG_9606.JPG,IMG_9606.JPG,"40 deg 42' 5.14""","74 deg 0' 49.74""",40.701427,74.01382
./IMG_9607.JPG,IMG_9607.JPG,"40 deg 42' 7.54""","74 deg 0' 46.17""",40.702095,74.012825
./IMG_9608.JPG,IMG_9608.JPG,"40 deg 42' 6.07""","74 deg 0' 49.80""",40.701687,74.01383
./IMG_9609.JPG,IMG_9609.JPG,"40 deg 41' 53.03""","74 deg 0' 50.26""",40.698063,74.01396
./IMG_9610.JPG,IMG_9610.JPG,"40 deg 41' 51.13""","74 deg 0' 52.05""",40.697536,74.01446
./IMG_9611.JPG,IMG_9611.JPG,"40 deg 41' 49.03""","74 deg 1' 3.80""",40.696953,74.01772
./IMG_9613.JPG,IMG_9613.JPG,"40 deg 41' 16.63""","74 deg 2' 1.62""",40.687954,74.03378
./IMG_9614.JPG,IMG_9614.JPG,"40 deg 41' 16.17""","74 deg 2' 1.70""",40.687824,74.033806
./IMG_9615.JPG,IMG_9615.JPG,"40 deg 41' 10.58""","74 deg 2' 5.99""",40.68627,74.034996
./IMG_9616.JPG,IMG_9616.JPG,"40 deg 41' 8.20""","74 deg 2' 7.44""",40.68561,74.0354
./IMG_9617.JPG,IMG_9617.JPG,"40 deg 41' 7.76""","74 deg 2' 7.99""",40.68549,74.03555
./IMG_9618.JPG,IMG_9618.JPG,"40 deg 41' 4.54""","74 deg 2' 11.18""",40.684593,74.03644
./IMG_9619.JPG,IMG_9619.JPG,"40 deg 40' 58.91""","74 deg 2' 14.91""",40.68303,74.037476
./IMG_9620.JPG,IMG_9620.JPG,"40 deg 43' 52.05""","74 deg 1' 6.30""",40.731125,74.01842
./IMG_9621.JPG,IMG_9621.JPG,"40 deg 38' 40.38""","74 deg 3' 59.58""",40.64455,74.06655
./IMG_9622.JPG,IMG_9622.JPG,"40 deg 38' 40.30""","74 deg 4' 0.63""",40.644527,74.06684
./IMG_9623.JPG,IMG_9623.JPG,"40 deg 38' 40.00""","74 deg 4' 9.20""",40.644444,74.06922
./IMG_9624.JPG,IMG_9624.JPG,"40 deg 38' 41.16""","74 deg 4' 17.55""",40.644768,74.07154
./IMG_9625.JPG,IMG_9625.JPG,"40 deg 38' 38.43""","74 deg 4' 17.85""",40.64401,74.071625
./IMG_9626.JPG,IMG_9626.JPG,"40 deg 38' 38.17""","74 deg 4' 18.04""",40.643936,74.07168
./IMG_9627.JPG,IMG_9627.JPG,"40 deg 38' 41.34""","74 deg 4' 19.88""",40.644817,74.07219
./IMG_9629.JPG,IMG_9629.JPG,"40 deg 38' 43.83""","74 deg 4' 29.22""",40.645508,74.07478
./IMG_9634.JPG,IMG_9634.JPG,"40 deg 38' 39.61""","74 deg 4' 15.13""",40.644337,74.07087
./IMG_9635.JPG,IMG_9635.JPG,"40 deg 38' 40.23""","74 deg 4' 13.73""",40.64451,74.07048
./IMG_9636.JPG,IMG_9636.JPG,"40 deg 38' 45.97""","74 deg 3' 46.21""",40.646103,74.062836
./IMG_9637.JPG,IMG_9637.JPG,"40 deg 38' 56.45""","74 deg 3' 31.82""",40.649014,74.05884
./IMG_9638.JPG,IMG_9638.JPG,"40 deg 39' 33.01""","74 deg 2' 57.10""",40.65917,74.049194
./IMG_9639.JPG,IMG_9639.JPG,"40 deg 39' 52.95""","74 deg 2' 44.58""",40.664707,74.045715
./IMG_9640.JPG,IMG_9640.JPG,"40 deg 40' 19.73""","74 deg 2' 28.51""",40.672146,74.04125
./IMG_9641.JPG,IMG_9641.JPG,"40 deg 40' 48.67""","74 deg 2' 8.57""",40.680187,74.03571
./IMG_9643.JPG,IMG_9643.JPG,"40 deg 41' 19.71""","74 deg 1' 43.57""",40.68881,74.02877
./IMG_9644.JPG,IMG_9644.JPG,"40 deg 41' 30.39""","74 deg 1' 32.04""",40.691776,74.025566
./IMG_9645.JPG,IMG_9645.JPG,"40 deg 41' 41.37""","74 deg 1' 15.56""",40.694824,74.02099
./IMG_9646.JPG,IMG_9646.JPG,"40 deg 41' 49.84""","74 deg 1' 1.06""",40.697178,74.01696
./IMG_9647.JPG,IMG_9647.JPG,"40 deg 41' 57.93""","74 deg 0' 50.32""",40.699425,74.01398
./IMG_9648.JPG,IMG_9648.JPG,"40 deg 42' 34.87""","74 deg 0' 18.73""",40.709686,74.0052
./IMG_9649.JPG,IMG_9649.JPG,"40 deg 42' 27.59""","74 deg 0' 14.28""",40.707664,74.00397
./IMG_9653.JPG,IMG_9653.JPG,"40 deg 42' 28.39""","74 deg 0' 11.78""",40.707886,74.00327
./IMG_9654.JPG,IMG_9654.JPG,"40 deg 42' 28.42""","74 deg 0' 11.81""",40.707893,74.00328
./IMG_9656.JPG,IMG_9656.JPG,"40 deg 42' 33.81""","74 deg 0' 6.26""",40.709393,74.00174
./IMG_9657.JPG,IMG_9657.JPG,"40 deg 42' 40.32""","74 deg 0' 14.78""",40.7112,74.004105
./IMG_9658.JPG,IMG_9658.JPG,"40 deg 42' 41.45""","74 deg 0' 13.46""",40.711514,74.00374
./IMG_9659.JPG,IMG_9659.JPG,"40 deg 42' 39.22""","74 deg 0' 10.85""",40.710896,74.00301
./IMG_9660.JPG,IMG_9660.JPG,"40 deg 42' 36.38""","74 deg 0' 7.55""",40.710106,74.0021
./IMG_9661.JPG,IMG_9661.JPG,"40 deg 42' 35.94""","74 deg 0' 6.10""",40.709984,74.00169
