0.00000000,0.000000000, 51.50178146,0.00537500, 51.50178146,0.00537660, 51.50178146,0.00537660, 51.50178146,0.00537830, 6,0.00537330, 51.50178146,0.00537500, 51.50178146,0.00537500, 51.50178146,0.00537660, 51.50178146,0.00537660, 51.50178146,0.00537830, 
GPShield
write GPSLOG99.TXT
go
51.50177383,0.00537660, 51.50177383,0.00537830, 51.50177383,0.00537830, mightyohm.com Geiger Counter 1.00
http://mightyohm.com/geiger
51.50194549,0.00629000, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50193023,0.00630330, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50191879,0.00631660, CPS, 1, CPM, 26, uSv/hr, 0.14, SLOW
51.50191116,0.00631660, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50189590,0.00631500, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50187301,0.00634000, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50183868,0.00638330, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50180816,0.00641660, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50178146,0.00643330, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50174331,0.00648000, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
51.50172424,0.00648330, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50170135,0.00649330, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50167465,0.00652500, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50165939,0.00652830, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50164413,0.00654160, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50162887,0.00654660, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50160980,0.00656500, CPS, 2, CPM, 22, uSv/hr, 0.12, SLOW
51.50160217,0.00657500, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50159454,0.00658500, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50158691,0.00659830, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50157165,0.00660160, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50155258,0.00661160, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50154495,0.00662160, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50152969,0.00663160, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50151443,0.00664160, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50150680,0.00664000, CPS, 2, CPM, 21, uSv/hr, 0.11, SLOW
51.50149917,0.00663160, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50146484,0.00660830, CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
51.50146484,0.00658500, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50146484,0.00654330, CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
51.50147247,0.00649330, CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
51.50146484,0.00646330, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50146484,0.00643330, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50146484,0.00640330, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50146484,0.00638500, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50145721,0.00638660, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50145721,0.00639000, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50145721,0.00638660, CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
51.50145721,0.00638830, CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
51.50145721,0.00639000, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50145721,0.00639660, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50145721,0.00639500, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50145721,0.00639830, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50146484,0.00640000, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50146484,0.00640830, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50147247,0.00642830, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50147247,0.00644330, CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
51.50148010,0.00645500, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50148010,0.00647660, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50148773,0.00650330, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50149917,0.00652500, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50150680,0.00655330, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50150680,0.00656000, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50151443,0.00658500, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50152206,0.00661000, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50152206,0.00662160, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50152206,0.00663830, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50152969,0.00665500, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50153732,0.00667330, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50153732,0.00668830, CPS, 1, CPM, 14, uSv/hr, 0.07, SLOW
51.50153732,0.00670660, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50153732,0.00672500, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50155258,0.00674660, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50155258,0.00676330, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50157165,0.00679500, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50158691,0.00681000, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50159454,0.00683500, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50158691,0.00685160, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50158691,0.00686500, CPS, 1, CPM, 14, uSv/hr, 0.07, SLOW
51.50159454,0.00686830, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50160217,0.00687000, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50160217,0.00687160, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50159454,0.00689500, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50160217,0.00690660, CPS, 1, CPM, 14, uSv/hr, 0.07, SLOW
51.50160980,0.00692000, CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50160217,0.00694500, 51.50160217,0.00697160, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50159454,0.00700330, 51.50158691,0.00702660, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50157928,0.00704000, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50156402,0.00707160, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50153732,0.00708830, CPS, 2, CPM, 14, uSv/hr, 0.07, SLOW
51.50152969,0.00709500, CPS, 1, CPM, 15, uSv/hr, 0.08, SLOW
CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50152206,0.00710330, 51.50151443,0.00711000, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50150680,0.00711330, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50150680,0.00711000, 51.50150680,0.00710660, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50150680,0.00710330, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50150680,0.00710160, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50150680,0.00710330, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50151443,0.00711500, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50151443,0.00712330, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50151443,0.00713500, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50152206,0.00715160, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50152206,0.00716660, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50151443,0.00719500, 51.50149917,0.00722000, CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
CPS, 0, CPM, 8, uSv/hr, 0.04, SLOW
51.50149917,0.00724160, CPS, 0, CPM, 8, uSv/hr, 0.04, SLOW
51.50148773,0.00727160, CPS, 0, CPM, 7, uSv/hr, 0.03, SLOW
